iter	Passed	Remaining
743	3706	1275
744	3711	1270
745	3715	1265
746	3719	1259
747	3723	1254
748	3728	1249
749	3733	1244
750	3737	1239
751	3742	1234
752	3746	1229
753	3750	1223
754	3756	1218
755	3760	1213
756	3765	1208
757	3769	1203
758	3774	1198
759	3779	1193
760	3783	1188
761	3788	1183
762	3793	1178
763	3797	1173
764	3803	1168
765	3807	1163
766	3812	1158
767	3816	1152
768	3820	1147
769	3824	1142
770	3829	1137
771	3833	1132
772	3837	1127
773	3841	1121
774	3846	1116
775	3852	1111
776	3856	1106
777	3861	1101
778	3866	1096
779	3870	1091
780	3877	1087
781	3882	1082
782	3886	1077
783	3890	1071
784	3895	1066
785	3900	1061
786	3904	1056
787	3908	1051
788	3912	1046
789	3916	1040
790	3920	1035
791	3925	1030
792	3929	1025
793	3934	1020
794	3939	1015
795	3943	1010
796	3949	1005
797	3953	1000
798	3958	995
799	3962	990
800	3966	985
801	3972	980
802	3976	975
803	3981	970
804	3986	965
805	3993	961
806	3998	956
807	4003	951
808	4007	946
809	4011	941
810	4016	935
811	4021	931
812	4026	926
813	4030	920
814	4034	915
815	4038	910
816	4045	906
817	4049	900
818	4053	895
819	4058	890
820	4062	885
821	4069	881
822	4073	876
823	4077	870
824	4081	865
825	4085	860
826	4091	855
827	4095	850
828	4099	845
829	4104	840
830	4108	835
831	4114	830
832	4118	825
833	4122	820
834	4126	815
835	4131	810
836	4135	805
837	4141	800
838	4145	795
839	4150	790
840	4154	785
841	4159	780
842	4164	775
843	4169	770
844	4173	765
845	4177	760
846	4181	755
847	4186	750
848	4192	745
849	4196	740
850	4200	735
851	4204	730
852	4210	725
853	4214	720
854	4219	715
855	4223	710
856	4227	705
857	4233	700
858	4238	695
859	4243	690
860	4247	685
861	4253	680
862	4259	676
863	4264	671
864	4269	666
865	4274	661
866	4282	656
867	4287	652
868	4292	647
869	4297	642
870	4303	637
871	4309	632
872	4314	627
873	4318	622
874	4323	617
875	4329	612
876	4334	607
877	4339	602
878	4343	597
879	4348	592
880	4355	588
881	4360	583
882	4365	578
883	4371	573
884	4379	569
885	4384	564
886	4389	559
887	4393	554
888	4399	549
889	4404	544
890	4409	539
891	4414	534
892	4419	529
893	4426	524
894	4430	519
895	4435	514
896	4439	509
897	4444	504
898	4450	499
899	4454	494
900	4461	490
901	4465	485
902	4471	480
903	4476	475
904	4481	470
905	4486	465
906	4491	460
907	4498	455
908	4503	450
909	4508	445
910	4513	440
911	4519	436
912	4524	431
913	4529	426
914	4534	421
915	4538	416
916	4544	411
917	4549	406
918	4553	401
919	4557	396
920	4562	391
921	4568	386
922	4573	381
923	4577	376
924	4582	371
925	4586	366
926	4593	361
927	4598	356
928	4602	351
929	4607	346
930	4611	341
931	4617	336
932	4622	331
933	4626	326
934	4630	321
935	4635	316
936	4641	312
937	4645	307
938	4650	302
939	4655	297
940	4659	292
941	4665	287
942	4670	282
943	4675	277
944	4680	272
945	4687	267
946	4692	262
947	4697	257
948	4701	252
949	4705	247
950	4711	242
951	4716	237
952	4720	232
953	4724	227
954	4728	222
955	4732	217
956	4737	212
957	4742	207
958	4746	202
959	4750	197
960	4753	192
961	4761	188
962	4766	183
963	4771	178
964	4775	173
965	4780	168
966	4785	163
967	4790	158
968	4794	153
969	4798	148
970	4802	143
971	4808	138
972	4812	133
973	4816	128
974	4820	123
975	4824	118
976	4828	113
977	4833	108
978	4837	103
979	4842	98
980	4846	93
981	4850	88
982	4855	83
983	4860	79
984	4865	74
985	4869	69
986	4873	64
987	4881	59
988	4885	54
989	4890	49
990	4894	44
991	4898	39
992	4904	34
993	4908	29
994	4912	24
995	4916	19
996	4920	14
997	4924	9
998	4930	4
999	4934	0
